Month,country,index,Mkt-RF,SMB,HML,RMW,CMA,RF,,,Mom   
200301,ATX.GI,0.342594,-3.43,2.36,2.52,-0.36,1.05,0.1,,200301,1.61
200301,BFX.GI,-7.037392,-3.43,2.36,2.52,-0.36,1.05,0.1,,200302,1.25
200301,HEX.GI,-9.785001,-3.43,2.36,2.52,-0.36,1.05,0.1,,200303,1.61
200301,FCHI.GI,-4.113371,-3.43,2.36,2.52,-0.36,1.05,0.1,,200304,-9.46
200301,GDAXI.GI,-5.005825,-3.43,2.36,2.52,-0.36,1.05,0.1,,200305,-10.77
200301,ASE.GI,-3.707919,-3.43,2.36,2.52,-0.36,1.05,0.1,,200306,-1.06
200301,ISEQ.GI,-0.612511,-3.43,2.36,2.52,-0.36,1.05,0.1,,200307,-0.31
200301,ITLMS.GI,-4.214081,-3.43,2.36,2.52,-0.36,1.05,0.1,,200308,-0.56
200301,AEX.GI,-8.610913,-3.43,2.36,2.52,-0.36,1.05,0.1,,200309,-0.19
200301,BVLX.GI,-2.079881,-3.43,2.36,2.52,-0.36,1.05,0.1,,200310,3.73
200301,IBEX.GI,-1.47758,-3.43,2.36,2.52,-0.36,1.05,0.1,,200311,1.62
200302,ATX.GI,0.384752,-3.38,0.58,1.66,-0.06,-0.66,0.09,,200312,-5.71
200302,BFX.GI,-11.185479,-3.38,0.58,1.66,-0.06,-0.66,0.09,,200401,2.6
200302,HEX.GI,-4.006142,-3.38,0.58,1.66,-0.06,-0.66,0.09,,200402,-1.1
200302,FCHI.GI,-6.256552,-3.38,0.58,1.66,-0.06,-0.66,0.09,,200403,0.21
200302,GDAXI.GI,-7.306857,-3.38,0.58,1.66,-0.06,-0.66,0.09,,200404,-5.39
200302,ASE.GI,-4.129865,-3.38,0.58,1.66,-0.06,-0.66,0.09,,200405,1.6
200302,ISEQ.GI,-4.547973,-3.38,0.58,1.66,-0.06,-0.66,0.09,,200406,2.1
200302,ITLMS.GI,2.959954,-3.38,0.58,1.66,-0.06,-0.66,0.09,,200407,-2.29
200302,AEX.GI,-9.740964,-3.38,0.58,1.66,-0.06,-0.66,0.09,,200408,-1.55
200302,BVLX.GI,-5.525976,-3.38,0.58,1.66,-0.06,-0.66,0.09,,200409,5.25
200302,IBEX.GI,0.869244,-3.38,0.58,1.66,-0.06,-0.66,0.09,,200410,-1.52
200303,ATX.GI,0.403995,-1.5,0.83,-0.57,1.61,0.52,0.1,,200411,3.23
200303,BFX.GI,-2.197421,-1.5,0.83,-0.57,1.61,0.52,0.1,,200412,-2.84
200303,HEX.GI,-1.601713,-1.5,0.83,-0.57,1.61,0.52,0.1,,200501,3.2
200303,FCHI.GI,-4.923985,-1.5,0.83,-0.57,1.61,0.52,0.1,,200502,3.16
200303,GDAXI.GI,-4.836183,-1.5,0.83,-0.57,1.61,0.52,0.1,,200503,0.54
200303,ASE.GI,-9.092599,-1.5,0.83,-0.57,1.61,0.52,0.1,,200504,-0.87
200303,ISEQ.GI,3.660705,-1.5,0.83,-0.57,1.61,0.52,0.1,,200505,0.44
200303,ITLMS.GI,-6.799724,-1.5,0.83,-0.57,1.61,0.52,0.1,,200506,2.05
200303,AEX.GI,-6.637617,-1.5,0.83,-0.57,1.61,0.52,0.1,,200507,-0.01
200303,BVLX.GI,0.105337,-1.5,0.83,-0.57,1.61,0.52,0.1,,200508,2.27
200303,IBEX.GI,-2.148548,-1.5,0.83,-0.57,1.61,0.52,0.1,,200509,3.46
200304,ATX.GI,5.678741,13.16,-2.29,0.15,-2.69,-0.08,0.1,,200510,-1.29
200304,BFX.GI,14.470224,13.16,-2.29,0.15,-2.69,-0.08,0.1,,200511,0.25
200304,HEX.GI,14.472682,13.16,-2.29,0.15,-2.69,-0.08,0.1,,200512,0.77
200304,FCHI.GI,12.8018,13.16,-2.29,0.15,-2.69,-0.08,0.1,,200601,2.68
200304,GDAXI.GI,21.377797,13.16,-2.29,0.15,-2.69,-0.08,0.1,,200602,-1.84
200304,ASE.GI,15.281129,13.16,-2.29,0.15,-2.69,-0.08,0.1,,200603,1.26
200304,ISEQ.GI,7.023153,13.16,-2.29,0.15,-2.69,-0.08,0.1,,200604,0.61
200304,ITLMS.GI,10.373809,13.16,-2.29,0.15,-2.69,-0.08,0.1,,200605,-3.65
200304,AEX.GI,13.716102,13.16,-2.29,0.15,-2.69,-0.08,0.1,,200606,1.48
200304,BVLX.GI,4.82363,13.16,-2.29,0.15,-2.69,-0.08,0.1,,200607,-2.22
200304,IBEX.GI,10.544247,13.16,-2.29,0.15,-2.69,-0.08,0.1,,200608,-3.46
200305,ATX.GI,1.710925,7.66,2.83,1.31,-1.61,0.24,0.09,,200609,-0.94
200305,BFX.GI,2.874177,7.66,2.83,1.31,-1.61,0.24,0.09,,200610,-0.23
200305,HEX.GI,-0.373469,7.66,2.83,1.31,-1.61,0.24,0.09,,200611,-1.01
200305,FCHI.GI,1.289244,7.66,2.83,1.31,-1.61,0.24,0.09,,200612,0.84
200305,GDAXI.GI,1.381354,7.66,2.83,1.31,-1.61,0.24,0.09,,200701,0.21
200305,ASE.GI,0.947077,7.66,2.83,1.31,-1.61,0.24,0.09,,200702,-1.35
200305,ISEQ.GI,0.243778,7.66,2.83,1.31,-1.61,0.24,0.09,,200703,2.49
200305,ITLMS.GI,4.122566,7.66,2.83,1.31,-1.61,0.24,0.09,,200704,-0.16
200305,AEX.GI,-0.728868,7.66,2.83,1.31,-1.61,0.24,0.09,,200705,-0.27
200305,BVLX.GI,2.982737,7.66,2.83,1.31,-1.61,0.24,0.09,,200706,0.37
200305,IBEX.GI,0.292781,7.66,2.83,1.31,-1.61,0.24,0.09,,200707,2.8
200306,ATX.GI,4.440925,1.18,1.98,0.42,0.63,-0.36,0.1,,200708,0.11
200306,BFX.GI,0.733782,1.18,1.98,0.42,0.63,-0.36,0.1,,200709,4.59
200306,HEX.GI,-1.65769,1.18,1.98,0.42,0.63,-0.36,0.1,,200710,4.96
200306,FCHI.GI,3.086822,1.18,1.98,0.42,0.63,-0.36,0.1,,200711,0.93
200306,GDAXI.GI,7.976048,1.18,1.98,0.42,0.63,-0.36,0.1,,200712,6.52
200306,ASE.GI,10.805018,1.18,1.98,0.42,0.63,-0.36,0.1,,200801,-7.89
200306,ISEQ.GI,1.540728,1.18,1.98,0.42,0.63,-0.36,0.1,,200802,6.11
200306,ITLMS.GI,-0.766098,1.18,1.98,0.42,0.63,-0.36,0.1,,200803,4.1
200306,AEX.GI,3.913462,1.18,1.98,0.42,0.63,-0.36,0.1,,200804,-0.2
200306,BVLX.GI,2.47664,1.18,1.98,0.42,0.63,-0.36,0.1,,200805,3.21
200306,IBEX.GI,5.431359,1.18,1.98,0.42,0.63,-0.36,0.1,,200806,12.53
200307,ATX.GI,1.190923,1.67,1.23,4,-3.39,2.35,0.07,,200807,-5.14
200307,BFX.GI,4.304119,1.67,1.23,4,-3.39,2.35,0.07,,200808,-4.04
200307,HEX.GI,0.609828,1.67,1.23,4,-3.39,2.35,0.07,,200809,0.35
200307,FCHI.GI,4.090983,1.67,1.23,4,-3.39,2.35,0.07,,200810,7.79
200307,GDAXI.GI,8.299126,1.67,1.23,4,-3.39,2.35,0.07,,200811,7.1
200307,ASE.GI,14.090611,1.67,1.23,4,-3.39,2.35,0.07,,200812,-5.08
200307,ISEQ.GI,3.108535,1.67,1.23,4,-3.39,2.35,0.07,,200901,-1.84
200307,ITLMS.GI,1.486514,1.67,1.23,4,-3.39,2.35,0.07,,200902,4.16
200307,AEX.GI,8.897273,1.67,1.23,4,-3.39,2.35,0.07,,200903,-11.38
200307,BVLX.GI,-1.341379,1.67,1.23,4,-3.39,2.35,0.07,,200904,-34.39
200307,IBEX.GI,2.91023,1.67,1.23,4,-3.39,2.35,0.07,,200905,-12.44
200308,ATX.GI,2.240286,0.16,3.25,0.02,0.96,1.22,0.07,,200906,5.29
200308,BFX.GI,1.01717,0.16,3.25,0.02,0.96,1.22,0.07,,200907,-5.36
200308,HEX.GI,8.054202,0.16,3.25,0.02,0.96,1.22,0.07,,200908,-8.84
200308,FCHI.GI,3.150825,0.16,3.25,0.02,0.96,1.22,0.07,,200909,-4.93
200308,GDAXI.GI,-0.09404,0.16,3.25,0.02,0.96,1.22,0.07,,200910,2.66
200308,ASE.GI,2.405681,0.16,3.25,0.02,0.96,1.22,0.07,,200911,0.29
200308,ISEQ.GI,4.145828,0.16,3.25,0.02,0.96,1.22,0.07,,200912,2.91
200308,ITLMS.GI,1.03563,0.16,3.25,0.02,0.96,1.22,0.07,,201001,-5.38
200308,AEX.GI,3.754449,0.16,3.25,0.02,0.96,1.22,0.07,,201002,3.6
200308,BVLX.GI,3.470892,0.16,3.25,0.02,0.96,1.22,0.07,,201003,3.66
200308,IBEX.GI,0.70238,0.16,3.25,0.02,0.96,1.22,0.07,,201004,3.22
200309,ATX.GI,0.076248,2.82,2.79,0.18,0.2,-0.18,0.08,,201005,-0.13
200309,BFX.GI,0.390931,2.82,2.79,0.18,0.2,-0.18,0.08,,201006,-3
200309,HEX.GI,-6.562931,2.82,2.79,0.18,0.2,-0.18,0.08,,201007,1.88
200309,FCHI.GI,-5.327926,2.82,2.79,0.18,0.2,-0.18,0.08,,201008,-0.19
200309,GDAXI.GI,-6.537373,2.82,2.79,0.18,0.2,-0.18,0.08,,201009,1.35
200309,ASE.GI,-8.63171,2.82,2.79,0.18,0.2,-0.18,0.08,,201010,1.64
200309,ISEQ.GI,-2.359535,2.82,2.79,0.18,0.2,-0.18,0.08,,201011,2.54
200309,ITLMS.GI,-1.884119,2.82,2.79,0.18,0.2,-0.18,0.08,,201012,-3.19
200309,AEX.GI,-6.869858,2.82,2.79,0.18,0.2,-0.18,0.08,,201101,-0.32
200309,BVLX.GI,1.762101,2.82,2.79,0.18,0.2,-0.18,0.08,,201102,2.03
200309,IBEX.GI,-5.733129,2.82,2.79,0.18,0.2,-0.18,0.08,,201103,3.51
200310,ATX.GI,5.122458,6.18,-0.79,3.62,-2.6,2.41,0.07,,201104,0.06
200310,BFX.GI,5.304533,6.18,-0.79,3.62,-2.6,2.41,0.07,,201105,-0.58
200310,HEX.GI,10.067401,6.18,-0.79,3.62,-2.6,2.41,0.07,,201106,1.77
200310,FCHI.GI,7.598429,6.18,-0.79,3.62,-2.6,2.41,0.07,,201107,0.02
200310,GDAXI.GI,12.257813,6.18,-0.79,3.62,-2.6,2.41,0.07,,201108,-0.33
200310,ASE.GI,5.015447,6.18,-0.79,3.62,-2.6,2.41,0.07,,201109,-2.57
200310,ISEQ.GI,6.186461,6.18,-0.79,3.62,-2.6,2.41,0.07,,201110,-1.42
200310,ITLMS.GI,5.392787,6.18,-0.79,3.62,-2.6,2.41,0.07,,201111,3.98
200310,AEX.GI,7.640655,6.18,-0.79,3.62,-2.6,2.41,0.07,,201112,1.95
200310,BVLX.GI,2.99485,6.18,-0.79,3.62,-2.6,2.41,0.07,,201201,-7.96
200310,IBEX.GI,6.353303,6.18,-0.79,3.62,-2.6,2.41,0.07,,201202,-0.28
200311,ATX.GI,4.892551,4.49,0.11,0.42,0.17,0.71,0.07,,201203,1.49
200311,BFX.GI,0.354057,4.49,0.11,0.42,0.17,0.71,0.07,,201204,3.84
200311,HEX.GI,2.838526,4.49,0.11,0.42,0.17,0.71,0.07,,201205,6.59
200311,FCHI.GI,1.529408,4.49,0.11,0.42,0.17,0.71,0.07,,201206,-0.72
200311,GDAXI.GI,2.460619,4.49,0.11,0.42,0.17,0.71,0.07,,201207,3.16
200311,ASE.GI,2.309694,4.49,0.11,0.42,0.17,0.71,0.07,,201208,-2.48
200311,ISEQ.GI,-1.027914,4.49,0.11,0.42,0.17,0.71,0.07,,201209,-1.04
200311,ITLMS.GI,4.50019,4.49,0.11,0.42,0.17,0.71,0.07,,201210,0.1
200311,AEX.GI,0.596572,4.49,0.11,0.42,0.17,0.71,0.07,,201211,0.34
200311,BVLX.GI,4.587307,4.49,0.11,0.42,0.17,0.71,0.07,,201212,-2.97
200311,IBEX.GI,1.725226,4.49,0.11,0.42,0.17,0.71,0.07,,201301,-1.86
200312,ATX.GI,3.654732,7.34,-1.95,0.57,0.59,-0.29,0.08,,201302,1.32
200312,BFX.GI,3.498561,7.34,-1.95,0.57,0.59,-0.29,0.08,,201303,1.97
200312,HEX.GI,-4.954202,7.34,-1.95,0.57,0.59,-0.29,0.08,,201304,0.27
200312,FCHI.GI,3.886662,7.34,-1.95,0.57,0.59,-0.29,0.08,,201305,-1.78
200312,GDAXI.GI,5.85192,7.34,-1.95,0.57,0.59,-0.29,0.08,,201306,0.59
200312,ASE.GI,4.310039,7.34,-1.95,0.57,0.59,-0.29,0.08,,201307,1.75
200312,ISEQ.GI,4.340958,7.34,-1.95,0.57,0.59,-0.29,0.08,,201308,0.05
200312,ITLMS.GI,-1.092837,7.34,-1.95,0.57,0.59,-0.29,0.08,,201309,2.96
200312,AEX.GI,1.643638,7.34,-1.95,0.57,0.59,-0.29,0.08,,201310,0.15
200312,BVLX.GI,2.407727,7.34,-1.95,0.57,0.59,-0.29,0.08,,201311,0.4
200312,IBEX.GI,6.683213,7.34,-1.95,0.57,0.59,-0.29,0.08,,201312,0.04
200401,ATX.GI,11.32382,2.46,3.98,2.3,-1.95,3.84,0.07,,201401,1.7
200401,BFX.GI,6.219644,2.46,3.98,2.3,-1.95,3.84,0.07,,201402,2.07
200401,HEX.GI,11.098622,2.46,3.98,2.3,-1.95,3.84,0.07,,201403,-3.34
200401,FCHI.GI,2.263695,2.46,3.98,2.3,-1.95,3.84,0.07,,201404,-3.86
200401,GDAXI.GI,2.356525,2.46,3.98,2.3,-1.95,3.84,0.07,,201405,1.15
200401,ASE.GI,7.466049,2.46,3.98,2.3,-1.95,3.84,0.07,,201406,0.67
200401,ISEQ.GI,3.71388,2.46,3.98,2.3,-1.95,3.84,0.07,,201407,-0.25
200401,ITLMS.GI,2.889109,2.46,3.98,2.3,-1.95,3.84,0.07,,201408,0.8
200401,AEX.GI,4.637939,2.46,3.98,2.3,-1.95,3.84,0.07,,201409,0.52
200401,BVLX.GI,3.844161,2.46,3.98,2.3,-1.95,3.84,0.07,,201410,0
200401,IBEX.GI,2.490565,2.46,3.98,2.3,-1.95,3.84,0.07,,201411,1.06
200402,ATX.GI,3.539288,3.07,1.12,0.37,0.69,-0.9,0.06,,201412,1.09
200402,BFX.GI,4.169883,3.07,1.12,0.37,0.69,-0.9,0.06,,201501,3.84
200402,HEX.GI,4.848703,3.07,1.12,0.37,0.69,-0.9,0.06,,201502,-2.83
200402,FCHI.GI,2.391135,3.07,1.12,0.37,0.69,-0.9,0.06,,201503,3.02
200402,GDAXI.GI,-0.996403,3.07,1.12,0.37,0.69,-0.9,0.06,,201504,-7.39
200402,ASE.GI,0.777775,3.07,1.12,0.37,0.69,-0.9,0.06,,201505,6.01
200402,ISEQ.GI,-0.224553,3.07,1.12,0.37,0.69,-0.9,0.06,,201506,3.03
200402,ITLMS.GI,0.826515,3.07,1.12,0.37,0.69,-0.9,0.06,,201507,10.33
200402,AEX.GI,0.928363,3.07,1.12,0.37,0.69,-0.9,0.06,,201508,-2.12
200402,BVLX.GI,8.113942,3.07,1.12,0.37,0.69,-0.9,0.06,,201509,5.33
200402,IBEX.GI,4.029055,3.07,1.12,0.37,0.69,-0.9,0.06,,201510,-4.04
200403,ATX.GI,4.815272,-3.32,0.86,-0.22,1.3,-2.2,0.09,,201511,2.32
200403,BFX.GI,-4.140289,-3.32,0.86,-0.22,1.3,-2.2,0.09,,201512,3.45
200403,HEX.GI,-4.137449,-3.32,0.86,-0.22,1.3,-2.2,0.09,,201601,1.33
200403,FCHI.GI,-2.689884,-3.32,0.86,-0.22,1.3,-2.2,0.09,,201602,-4.11
200403,GDAXI.GI,-4.018257,-3.32,0.86,-0.22,1.3,-2.2,0.09,,201603,-5.13
200403,ASE.GI,-3.297981,-3.32,0.86,-0.22,1.3,-2.2,0.09,,201604,-6.27
200403,ISEQ.GI,1.672421,-3.32,0.86,-0.22,1.3,-2.2,0.09,,201605,1.92
200403,ITLMS.GI,-2.809539,-3.32,0.86,-0.22,1.3,-2.2,0.09,,201606,4.22
200403,AEX.GI,-4.969292,-3.32,0.86,-0.22,1.3,-2.2,0.09,,201607,-2.99
200403,BVLX.GI,-0.468562,-3.32,0.86,-0.22,1.3,-2.2,0.09,,201608,-3.12
200403,IBEX.GI,-2.80384,-3.32,0.86,-0.22,1.3,-2.2,0.09,,201609,-0.58
200404,ATX.GI,3.188948,-1.17,-0.82,0.88,0.68,-0.48,0.08,,201610,0.65
200404,BFX.GI,2.48955,-1.17,-0.82,0.88,0.68,-0.48,0.08,,201611,-4.15
200404,HEX.GI,-14.646951,-1.17,-0.82,0.88,0.68,-0.48,0.08,,201612,-0.42
200404,FCHI.GI,1.353018,-1.17,-0.82,0.88,0.68,-0.48,0.08,,201701,-0.94
200404,GDAXI.GI,3.332123,-1.17,-0.82,0.88,0.68,-0.48,0.08,,201702,-1.65
200404,ASE.GI,6.199566,-1.17,-0.82,0.88,0.68,-0.48,0.08,,201703,-0.92
200404,ISEQ.GI,2.794378,-1.17,-0.82,0.88,0.68,-0.48,0.08,,201704,0.55
200404,ITLMS.GI,3.384538,-1.17,-0.82,0.88,0.68,-0.48,0.08,,201705,1.45
200404,AEX.GI,0.74955,-1.17,-0.82,0.88,0.68,-0.48,0.08,,201706,-0.26
200404,BVLX.GI,0.995472,-1.17,-0.82,0.88,0.68,-0.48,0.08,,201707,1.63
200404,IBEX.GI,1.139921,-1.17,-0.82,0.88,0.68,-0.48,0.08,,201708,3.52
200405,ATX.GI,-2.414486,1.41,-1.1,-0.9,1.02,-1.35,0.06,,201709,-1.17
200405,BFX.GI,-0.991142,1.41,-1.1,-0.9,1.02,-1.35,0.06,,201710,4.3
200405,HEX.GI,-2.579039,1.41,-1.1,-0.9,1.02,-1.35,0.06,,201711,-0.73
200405,FCHI.GI,-0.126555,1.41,-1.1,-0.9,1.02,-1.35,0.06,,201712,-1.65
200405,GDAXI.GI,-1.600919,1.41,-1.1,-0.9,1.02,-1.35,0.06,,201801,3.93
200405,ASE.GI,-3.729713,1.41,-1.1,-0.9,1.02,-1.35,0.06,,201802,3.96
200405,ISEQ.GI,-1.809521,1.41,-1.1,-0.9,1.02,-1.35,0.06,,201803,-1.24
200405,ITLMS.GI,-2.145735,1.41,-1.1,-0.9,1.02,-1.35,0.06,,201804,0.2
200405,AEX.GI,-1.23605,1.41,-1.1,-0.9,1.02,-1.35,0.06,,201805,3.81
200405,BVLX.GI,-1.668689,1.41,-1.1,-0.9,1.02,-1.35,0.06,,201806,-2.39
200405,IBEX.GI,-1.852149,1.41,-1.1,-0.9,1.02,-1.35,0.06,,,
200406,ATX.GI,5.831533,2,1.13,0.92,1.08,0.98,0.08,,,
200406,BFX.GI,2.286549,2,1.13,0.92,1.08,0.98,0.08,,,
200406,HEX.GI,4.592761,2,1.13,0.92,1.08,0.98,0.08,,,
200406,FCHI.GI,1.726605,2,1.13,0.92,1.08,0.98,0.08,,,
200406,GDAXI.GI,3.348795,2,1.13,0.92,1.08,0.98,0.08,,,
200406,ASE.GI,-3.076263,2,1.13,0.92,1.08,0.98,0.08,,,
200406,ISEQ.GI,4.605065,2,1.13,0.92,1.08,0.98,0.08,,,
200406,ITLMS.GI,2.799007,2,1.13,0.92,1.08,0.98,0.08,,,
200406,AEX.GI,2.354755,2,1.13,0.92,1.08,0.98,0.08,,,
200406,BVLX.GI,2.233932,2,1.13,0.92,1.08,0.98,0.08,,,
200406,IBEX.GI,1.495106,2,1.13,0.92,1.08,0.98,0.08,,,
200407,ATX.GI,2.124259,-3.14,0.15,0.46,1.61,-1.04,0.1,,,
200407,BFX.GI,-0.223827,-3.14,0.15,0.46,1.61,-1.04,0.1,,,
200407,HEX.GI,-7.383919,-3.14,0.15,0.46,1.61,-1.04,0.1,,,
200407,FCHI.GI,-2.300837,-3.14,0.15,0.46,1.61,-1.04,0.1,,,
200407,GDAXI.GI,-3.876893,-3.14,0.15,0.46,1.61,-1.04,0.1,,,
200407,ASE.GI,-1.271093,-3.14,0.15,0.46,1.61,-1.04,0.1,,,
200407,ISEQ.GI,-1.967733,-3.14,0.15,0.46,1.61,-1.04,0.1,,,
200407,ITLMS.GI,-1.848016,-3.14,0.15,0.46,1.61,-1.04,0.1,,,
200407,AEX.GI,-4.409932,-3.14,0.15,0.46,1.61,-1.04,0.1,,,
200407,BVLX.GI,-2.827744,-3.14,0.15,0.46,1.61,-1.04,0.1,,,
200407,IBEX.GI,-1.968236,-3.14,0.15,0.46,1.61,-1.04,0.1,,,
200408,ATX.GI,-1.901893,0.34,-0.38,1.33,-0.26,-0.45,0.11,,,
200408,BFX.GI,3.770592,0.34,-0.38,1.33,-0.26,-0.45,0.11,,,
200408,HEX.GI,0.220258,0.34,-0.38,1.33,-0.26,-0.45,0.11,,,
200408,FCHI.GI,-1.448274,0.34,-0.38,1.33,-0.26,-0.45,0.11,,,
200408,GDAXI.GI,-2.833959,0.34,-0.38,1.33,-0.26,-0.45,0.11,,,
200408,ASE.GI,-0.217307,0.34,-0.38,1.33,-0.26,-0.45,0.11,,,
200408,ISEQ.GI,1.714804,0.34,-0.38,1.33,-0.26,-0.45,0.11,,,
200408,ITLMS.GI,-1.937385,0.34,-0.38,1.33,-0.26,-0.45,0.11,,,
200408,AEX.GI,-2.058137,0.34,-0.38,1.33,-0.26,-0.45,0.11,,,
200408,BVLX.GI,-0.407635,0.34,-0.38,1.33,-0.26,-0.45,0.11,,,
200408,IBEX.GI,-0.628843,0.34,-0.38,1.33,-0.26,-0.45,0.11,,,
200409,ATX.GI,2.501229,4,0.21,0.75,-0.53,-0.34,0.11,,,
200409,BFX.GI,5.282477,4,0.21,0.75,-0.53,-0.34,0.11,,,
200409,HEX.GI,6.349358,4,0.21,0.75,-0.53,-0.34,0.11,,,
200409,FCHI.GI,1.288993,4,0.21,0.75,-0.53,-0.34,0.11,,,
200409,GDAXI.GI,2.84502,4,0.21,0.75,-0.53,-0.34,0.11,,,
200409,ASE.GI,0.604081,4,0.21,0.75,-0.53,-0.34,0.11,,,
200409,ISEQ.GI,2.932014,4,0.21,0.75,-0.53,-0.34,0.11,,,
200409,ITLMS.GI,3.401524,4,0.21,0.75,-0.53,-0.34,0.11,,,
200409,AEX.GI,0.253776,4,0.21,0.75,-0.53,-0.34,0.11,,,
200409,BVLX.GI,3.520489,4,0.21,0.75,-0.53,-0.34,0.11,,,
200409,IBEX.GI,2.029354,4,0.21,0.75,-0.53,-0.34,0.11,,,
200410,ATX.GI,3.392286,4.11,0.12,0.69,0.03,0.35,0.11,,,
200410,BFX.GI,3.424909,4.11,0.12,0.69,0.03,0.35,0.11,,,
200410,HEX.GI,5.564241,4.11,0.12,0.69,0.03,0.35,0.11,,,
200410,FCHI.GI,1.818651,4.11,0.12,0.69,0.03,0.35,0.11,,,
200410,GDAXI.GI,1.730073,4.11,0.12,0.69,0.03,0.35,0.11,,,
200410,ASE.GI,6.912947,4.11,0.12,0.69,0.03,0.35,0.11,,,
200410,ISEQ.GI,1.275504,4.11,0.12,0.69,0.03,0.35,0.11,,,
200410,ITLMS.GI,3.077877,4.11,0.12,0.69,0.03,0.35,0.11,,,
200410,AEX.GI,2.018892,4.11,0.12,0.69,0.03,0.35,0.11,,,
200410,BVLX.GI,1.258251,4.11,0.12,0.69,0.03,0.35,0.11,,,
200410,IBEX.GI,4.846062,4.11,0.12,0.69,0.03,0.35,0.11,,,
200411,ATX.GI,8.345919,6.85,2.16,1.73,-1.25,0.88,0.15,,,
200411,BFX.GI,2.351505,6.85,2.16,1.73,-1.25,0.88,0.15,,,
200411,HEX.GI,4.686456,6.85,2.16,1.73,-1.25,0.88,0.15,,,
200411,FCHI.GI,1.266045,6.85,2.16,1.73,-1.25,0.88,0.15,,,
200411,GDAXI.GI,4.185342,6.85,2.16,1.73,-1.25,0.88,0.15,,,
200411,ASE.GI,6.65357,6.85,2.16,1.73,-1.25,0.88,0.15,,,
200411,ISEQ.GI,5.138607,6.85,2.16,1.73,-1.25,0.88,0.15,,,
200411,ITLMS.GI,2.851089,6.85,2.16,1.73,-1.25,0.88,0.15,,,
